"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct","randomID","subject","image_switchboard","scene_order"
"","vsl-grid-scene-snap","99","1734414","0.0-4.0-2.0-45.0","","[[0,""img/obj2.png"",0,0,0],[0,0,""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",0,0,0],[""img/obj3.png"",0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","100","1737428","0.0-4.0-2.0-46.0","","[[0,0,0,0,0],[0,0,0,""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj6.png"",0],[0,""img/obj3.png"",0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","101","1740443","0.0-4.0-2.0-47.0","","[[0,0,0,""img/obj2.png"",""img/obj9.png""],[0,0,0,""img/obj4.png"",""img/obj5.png""],[0,0,0,""img/obj10.png"",""img/obj6.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-attention-check","102","1744468","0.0-4.0-3.0-0.0-0.0","null","[[0,0,0,""img/square.png"",0],[0,0,0,0,""img/square.png""],[""img/square.png"",0,""img/attention.png"",0,0],[0,""img/square.png"",0,0,0],[0,0,0,""img/square.png"",0]]","","","null","","","","","","","",""
"","vsl-grid-attention-check","103","1744716","0.0-4.0-3.0-0.1-0.1","247","[[0,0,0,0,0],[0,0,0,0,0],[""img/square.png"",""img/square.png"",""img/attention.png"",""img/square.png"",0],[0,0,0,0,0],[""img/square.png"",0,0,0,""img/square.png""]]","","","32","","","","","","","",""
"","html-keyboard-response","104","1745729","0.0-4.0-3.0-1.0","null"," ","","","null","","","","","","","",""
"","vsl-grid-scene-snap","105","1747731","0.0-4.0-4.0-0.0","","[[0,0,0,0,0],[0,0,""img/obj1.png"",""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj7.png"",0],[0,0,0,""img/obj6.png"",""img/obj12.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","106","1750746","0.0-4.0-4.0-1.0","","[[0,""img/obj2.png"",""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","107","1753759","0.0-4.0-4.0-2.0","","[[0,0,0,0,0],[0,0,""img/obj8.png"",0,0],[""img/obj2.png"",""img/obj11.png"",0,0,0],[""img/obj3.png"",""img/obj5.png"",0,0,0],[""img/obj10.png"",0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","108","1756769","0.0-4.0-4.0-3.0","","[[0,0,0,""img/obj9.png"",0],[0,0,""img/obj4.png"",0,0],[0,0,""img/obj1.png"",""img/obj6.png"",0],[0,0,0,""img/obj7.png"",0],[0,0,0,0,""img/obj12.png""]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","109","1759791","0.0-4.0-4.0-4.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj1.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj7.png"",0],[0,""img/obj3.png"",0,0,""img/obj12.png""]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","110","1762799","0.0-4.0-4.0-5.0","","[[0,0,0,0,0],[0,0,0,0,""img/obj8.png""],[0,0,""img/obj9.png"",""img/obj11.png"",0],[0,""img/obj4.png"",""img/obj3.png"",0,0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","111","1765814","0.0-4.0-4.0-6.0","","[[0,0,""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj6.png"",0,0],[""img/obj3.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","112","1768828","0.0-4.0-4.0-7.0","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,0,0,""img/obj8.png"",""img/obj5.png""],[0,0,""img/obj11.png"",""img/obj10.png"",0],[0,""img/obj3.png"",0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","113","1771853","0.0-4.0-4.0-8.0","","[[0,""img/obj2.png"",0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj7.png"",0,0],[0,0,0,""img/obj12.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","114","1774864","0.0-4.0-4.0-9.0","","[[0,0,0,0,0],[0,0,0,""img/obj9.png"",""img/obj8.png""],[0,0,""img/obj4.png"",""img/obj11.png"",0],[0,0,""img/obj3.png"",""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","115","1777886","0.0-4.0-4.0-10.0","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","116","1780900","0.0-4.0-4.0-11.0","","[[0,""img/obj1.png"",0,0,""img/obj8.png""],[0,0,""img/obj7.png"",""img/obj11.png"",0],[0,0,""img/obj3.png"",""img/obj12.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","117","1783920","0.0-4.0-4.0-12.0","","[[0,0,0,0,0],[0,0,0,""img/obj8.png"",0],[0,""img/obj2.png"",""img/obj11.png"",0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","118","1786938","0.0-4.0-4.0-13.0","","[[""img/obj1.png"",0,0,0,0],[0,""img/obj7.png"",0,0,0],[0,""img/obj2.png"",""img/obj12.png"",0,0],[0,0,""img/obj5.png"",0,0],[0,""img/obj10.png"",0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","119","1789954","0.0-4.0-4.0-14.0","","[[0,0,""img/obj9.png"",0,0],[0,""img/obj4.png"",0,0,0],[0,""img/obj1.png"",""img/obj6.png"",0,0],[0,0,""img/obj7.png"",0,0],[0,0,0,""img/obj12.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","120","1792970","0.0-4.0-4.0-15.0","","[[0,0,0,0,0],[0,""img/obj2.png"",0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",""img/obj7.png"",0,0],[0,0,0,""img/obj12.png"",0]]","","","","","","","","","","",""
"","html-keyboard-response","121","1794982","0.0-5.0-0.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","null","","","","","","","",""
"","html-keyboard-response","122","1795983","0.0-5.0-1.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","null","","","","","","","",""
"","html-keyboard-response","123","1796994","0.0-5.0-2.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","","","null","","","","","","","",""
"","html-keyboard-response","124","1798002","0.0-5.0-3.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","","","null","","","","","","","",""
"","html-keyboard-response","125","1799004","0.0-5.0-4.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","","","null","","","","","","","",""
