"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","47","307311","0.0-5.0-0.0-42.0","","","[[""img/obj7.png"",0,0],[""img/obj10.png"",""img/obj4.png"",0],[""img/obj8.png"",""img/obj1.png"",""img/obj3.png""]]","","","1,1,1,1,3,3,2,2,6","32",""
"vsl-grid-scene-snap","48","312310","0.0-5.0-0.0-43.0","","","[[""img/obj4.png"",""img/obj11.png"",""img/obj6.png""],[""img/obj5.png"",""img/obj3.png"",0],[""img/obj2.png"",0,0]]","","","1,2,2,2,1,4,1,1,6","43",""
"vsl-grid-scene-snap","49","317310","0.0-5.0-0.0-44.0","","","[[0,0,""img/obj9.png""],[0,""img/obj12.png"",""img/obj7.png""],[""img/obj8.png"",""img/obj1.png"",""img/obj10.png""]]","","","3,2,1,1,3,3,3,1,5","140",""
"vsl-grid-scene-snap","50","322323","0.0-5.0-0.0-45.0","","","[[""img/obj4.png"",""img/obj11.png"",""img/obj6.png""],[0,""img/obj3.png"",""img/obj5.png""],[0,0,""img/obj2.png""]]","","","3,2,2,2,1,4,1,1,6","131",""
"vsl-grid-scene-snap","51","327321","0.0-5.0-0.0-46.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[""img/obj5.png"",""img/obj4.png"",0],[""img/obj2.png"",0,""img/obj3.png""]]","","","1,2,2,2,1,4,2,2,6","47",""
"vsl-grid-scene-snap","52","332320","0.0-5.0-0.0-47.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[""img/obj4.png"",0,""img/obj5.png""],[0,""img/obj3.png"",""img/obj2.png""]]","","","3,2,2,2,1,4,1,2,6","127",""
"vsl-grid-attention-check","53","338320","0.0-5.0-1.0-0.0-0.0","","null","[[""img/square.png"",""img/square.png"",""img/square.png""],[""img/square.png"",""img/attention.png"",0],[0,""img/square.png"",0]]","","","","","null"
"vsl-grid-attention-check","54","342318","0.0-5.0-1.0-0.1-0.1","","null","[[0,""img/square.png"",""img/square.png""],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",0,""img/square.png""]]","","","","","null"
"vsl-grid-attention-check","55","346316","0.0-5.0-1.0-0.2-0.2","","null","[[0,""img/square.png"",""img/square.png""],[""img/square.png"",""img/attention.png"",0],[0,""img/square.png"",""img/square.png""]]","","","","","null"
"vsl-grid-attention-check","56","348711","0.0-5.0-1.0-0.3-0.3","","2390","[[""img/square.png"",""img/square.png"",0],[0,""img/attention.png"",0],[""img/square.png"",""img/square.png"",""img/square.png""]]","","","","","32"
"html-keyboard-response","57","349722","0.0-5.0-1.0-1.0","","null"," ","","","","","null"
"vsl-grid-scene-snap","58","351736","0.0-5.0-2.0-0.0","","","[[0,""img/obj9.png"",0],[""img/obj12.png"",0,""img/obj5.png""],[""img/obj11.png"",""img/obj6.png"",""img/obj2.png""]]","","","3,2,2,1,3,4,2,1,5","135",""
"vsl-grid-scene-snap","59","354782","0.0-5.0-2.0-1.0","","","[[""img/obj4.png"",0,0],[0,""img/obj3.png"",""img/obj7.png""],[""img/obj11.png"",""img/obj6.png"",""img/obj10.png""]]","","","3,2,1,1,3,4,1,1,6","138",""
"vsl-grid-scene-snap","60","357844","0.0-5.0-2.0-2.0","","","[[""img/obj7.png"",0,""img/obj9.png""],[""img/obj10.png"",""img/obj12.png"",0],[0,""img/obj8.png"",""img/obj1.png""]]","","","1,1,1,2,3,3,3,1,5","12",""
"vsl-grid-scene-snap","61","360875","0.0-5.0-2.0-3.0","","","[[""img/obj7.png"",0,""img/obj9.png""],[""img/obj10.png"",""img/obj12.png"",0],[0,""img/obj11.png"",""img/obj6.png""]]","","","1,1,1,2,3,4,3,1,5","14",""
"vsl-grid-scene-snap","62","363918","0.0-5.0-2.0-4.0","","","[[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""],[""img/obj8.png"",""img/obj1.png"",0]]","","","3,1,2,1,3,3,2,1,5","97",""
"vsl-grid-scene-snap","63","366948","0.0-5.0-2.0-5.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[""img/obj7.png"",0,""img/obj9.png""],[""img/obj10.png"",""img/obj12.png"",0]]","","","1,2,1,2,1,4,3,2,5","38",""
"vsl-grid-scene-snap","64","369978","0.0-5.0-2.0-6.0","","","[[""img/obj7.png"",""img/obj11.png"",""img/obj6.png""],[""img/obj10.png"",""img/obj9.png"",0],[""img/obj12.png"",0,0]]","","","1,1,1,2,1,4,2,2,5","6",""
